Algoritmo,Base,Repeticao,|D|,|D+|,|D-|,Atributos,|I|,Tempo,Testes,Seed,WRAcc,WRAccN,size,TP,FP,overollSuppP,CoverRedundancyP,DescripRDensity,DescripRDominator,Qg,Chi_Quad,p_value,Lift,DiffSup,K,GrowthRate,OddsRatio,cov,conf,supp,suppP,suppN
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,1,62,40,22,1000,3000,0.518,132351,179424673,0.095577523,0.382310094,1.6,16.7,0,1,0.409580838,0.8125,0.3,16.7,12.60431929,4.55E-04,1.55,0.4175,10,Infinity,Infinity,0.269354839,1,0.269354839,0.4175,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,2,62,40,22,1000,3000,0.135,51101,125164703,0.090998959,0.363995838,1.7,15.9,0,0.95,0.396855346,0.882352941,0.2,15.9,11.84160878,9.31E-04,1.55,0.3975,10,Infinity,Infinity,0.256451613,1,0.256451613,0.3975,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,3,62,40,22,1000,3000,0.063,24376,132011827,0.089281998,0.357127992,1.7,15.6,0,0.95,0.412820513,0.941176471,0.2,15.6,11.5602157,0.001136508,1.55,0.39,10,Infinity,Infinity,0.251612903,1,0.251612903,0.39,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,4,62,40,22,1000,3000,0.04,13603,124987441,0.089281998,0.357127992,1.8,15.6,0,0.975,0.462820513,0.777777778,0.3,15.6,11.5602157,0.001136508,1.55,0.39,10,Infinity,Infinity,0.251612903,1,0.251612903,0.39,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,5,62,40,22,1000,3000,0.031,11789,123979721,0.088709677,0.35483871,1.9,15.5,0,0.975,0.446774194,0.684210526,0.3,15.5,11.46650116,0.00120067,1.55,0.3875,10,Infinity,Infinity,0.25,1,0.25,0.3875,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,6,62,40,22,1000,3000,0.024,9751,119777719,0.088137357,0.352549428,1.9,15.4,0,0.975,0.434415584,0.736842105,0.3,15.4,11.37661171,0.001302591,1.55,0.385,10,Infinity,Infinity,0.248387097,1,0.248387097,0.385,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,7,62,40,22,1000,3000,0.023,9115,117705823,0.088137357,0.352549428,1.9,15.4,0,0.975,0.434415584,0.736842105,0.3,15.4,11.37661171,0.001302591,1.55,0.385,10,Infinity,Infinity,0.248387097,1,0.248387097,0.385,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,8,62,40,22,1000,3000,0.025,8414,112131119,0.088137357,0.352549428,1.9,15.4,0,0.975,0.434415584,0.736842105,0.3,15.4,11.37661171,0.001302591,1.55,0.385,10,Infinity,Infinity,0.248387097,1,0.248387097,0.385,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,9,62,40,22,1000,3000,0.006,2321,108626351,0.086992716,0.347970864,1.7,15.2,0,0.975,0.413157895,0.882352941,0.3,15.2,11.20402395,0.00162155,1.55,0.38,10,Infinity,Infinity,0.24516129,1,0.24516129,0.38,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,10,62,40,22,1000,3000,0.007,2483,107980007,0.086992716,0.347970864,1.7,15.2,0,0.975,0.413157895,0.882352941,0.3,15.2,11.20402395,0.00162155,1.55,0.38,10,Infinity,Infinity,0.24516129,1,0.24516129,0.38,0
SSDPHD1-k10-foQg,burczynski-clean50-pn-quartil50,1,127,59,68,11142,33426,11.189,2045099,179424673,0.101184202,0.404736809,2,24,0,0.898305085,0.550282486,0.95,0.2,24,34.12341702,7.16E-09,2.152542373,0.406779661,10,Infinity,Infinity,0.188976378,1,0.188976378,0.406779661,0
SSDPHD1-k10-foQg,burczynski-clean50-pn-quartil50,2,127,59,68,11142,33426,0.189,42220,125164703,0.0999194,0.399677599,2,23.7,0,0.881355932,0.586855467,0.95,0.2,23.7,33.60270677,1.00E-08,2.152542373,0.401694915,10,Infinity,Infinity,0.186614173,1,0.186614173,0.401694915,0
SSDPHD1-k10-foQg,burczynski-clean50-pn-quartil50,3,127,59,68,11142,33426,0.119,26614,132011827,0.098654597,0.394618389,2,23.4,0,0.881355932,0.61552948,0.95,0.2,23.4,33.09522211,1.78E-08,2.152542373,0.396610169,10,Infinity,Infinity,0.184251969,1,0.184251969,0.396610169,0
SSDPHD1-k10-foQg,burczynski-clean50-pn-quartil50,4,127,59,68,11142,33426,0.026,5239,124987441,0.095281791,0.381127162,2,22.6,0,0.830508475,0.629068547,0.85,0.2,22.6,31.73280305,4.12E-08,2.152542373,0.383050847,10,Infinity,Infinity,0.177952756,1,0.177952756,0.383050847,0
SSDPHD1-k10-foQg,burczynski-clean50-pn-quartil50,5,127,59,68,11142,33426,0.066,15632,123979721,0.094438589,0.377754356,2,22.4,0,0.813559322,0.586713075,0.9,0.2,22.4,31.40188439,5.50E-08,2.152542373,0.379661017,10,Infinity,Infinity,0.176377953,1,0.176377953,0.379661017,0
SSDPHD1-k10-foQg,burczynski-clean50-pn-quartil50,6,127,59,68,11142,33426,0.019,3807,119777719,0.094438589,0.377754356,2,22.4,0,0.813559322,0.586713075,0.9,0.2,22.4,31.40188439,5.50E-08,2.152542373,0.379661017,10,Infinity,Infinity,0.176377953,1,0.176377953,0.379661017,0
SSDPHD1-k10-foQg,burczynski-clean50-pn-quartil50,7,127,59,68,11142,33426,0.017,3453,117705823,0.094438589,0.377754356,2,22.4,0,0.813559322,0.586713075,0.9,0.2,22.4,31.40188439,5.50E-08,2.152542373,0.379661017,10,Infinity,Infinity,0.176377953,1,0.176377953,0.379661017,0
SSDPHD1-k10-foQg,burczynski-clean50-pn-quartil50,8,127,59,68,11142,33426,0.047,11257,112131119,0.094438589,0.377754356,2,22.4,0,0.813559322,0.586713075,0.9,0.2,22.4,31.40188439,5.50E-08,2.152542373,0.379661017,10,Infinity,Infinity,0.176377953,1,0.176377953,0.379661017,0
SSDPHD1-k10-foQg,burczynski-clean50-pn-quartil50,9,127,59,68,11142,33426,0.039,8797,108626351,0.093173786,0.372695145,2,22.1,0,0.813559322,0.616611703,0.9,0.2,22.1,30.90073353,7.06E-08,2.152542373,0.374576271,10,Infinity,Infinity,0.174015748,1,0.174015748,0.374576271,0
SSDPHD1-k10-foQg,burczynski-clean50-pn-quartil50,10,127,59,68,11142,33426,0.033,7887,107980007,0.093173786,0.372695145,2,22.1,0,0.813559322,0.616611703,0.9,0.2,22.1,30.90073353,7.06E-08,2.152542373,0.374576271,10,Infinity,Infinity,0.174015748,1,0.174015748,0.374576271,0
SSDPHD1-k10-foQg,chin-clean50-pn-quartil50,1,118,75,43,11108,33324,17.607,2568222,179424673,0.10221919,0.40887676,2,33.1,0,0.773333333,0.558308157,0.65,0.5,33.1,26.40369616,3.62E-07,1.573333333,0.441333333,10,Infinity,Infinity,0.280508475,1,0.280508475,0.441333333,0
SSDPHD1-k10-foQg,chin-clean50-pn-quartil50,2,118,75,43,11108,33324,0.067,14848,125164703,0.101910371,0.407641482,2,33,0,0.773333333,0.568484848,0.65,0.4,33,26.29188813,3.75E-07,1.573333333,0.44,10,Infinity,Infinity,0.279661017,1,0.279661017,0.44,0
SSDPHD1-k10-foQg,chin-clean50-pn-quartil50,3,118,75,43,11108,33324,0.046,10349,132011827,0.101601551,0.406406205,2,32.9,0,0.773333333,0.566241135,0.65,0.4,32.9,26.18519081,4.14E-07,1.573333333,0.438666667,10,Infinity,Infinity,0.278813559,1,0.278813559,0.438666667,0
SSDPHD1-k10-foQg,chin-clean50-pn-quartil50,4,118,75,43,11108,33324,0.031,7840,124987441,0.101601551,0.406406205,2,32.9,0,0.773333333,0.566241135,0.65,0.4,32.9,26.18519081,4.14E-07,1.573333333,0.438666667,10,Infinity,Infinity,0.278813559,1,0.278813559,0.438666667,0
SSDPHD1-k10-foQg,chin-clean50-pn-quartil50,5,118,75,43,11108,33324,0.032,8088,123979721,0.101601551,0.406406205,2,32.9,0,0.773333333,0.566241135,0.65,0.4,32.9,26.18519081,4.14E-07,1.573333333,0.438666667,10,Infinity,Infinity,0.278813559,1,0.278813559,0.438666667,0
SSDPHD1-k10-foQg,chin-clean50-pn-quartil50,6,118,75,43,11108,33324,0.012,2826,119777719,0.101601551,0.406406205,2,32.9,0,0.773333333,0.566241135,0.65,0.4,32.9,26.18519081,4.14E-07,1.573333333,0.438666667,10,Infinity,Infinity,0.278813559,1,0.278813559,0.438666667,0
SSDPHD1-k10-foQg,chin-clean50-pn-quartil50,7,118,75,43,11108,33324,0.032,8201,117705823,0.101601551,0.406406205,2,32.9,0,0.773333333,0.566241135,0.65,0.4,32.9,26.18519081,4.14E-07,1.573333333,0.438666667,10,Infinity,Infinity,0.278813559,1,0.278813559,0.438666667,0
SSDPHD1-k10-foQg,chin-clean50-pn-quartil50,8,118,75,43,11108,33324,0.027,7102,112131119,0.100983913,0.403935651,1.9,32.7,0,0.84,0.541406728,0.684210526,0.4,32.7,25.97422111,5.18E-07,1.573333333,0.436,10,Infinity,Infinity,0.277118644,1,0.277118644,0.436,0
SSDPHD1-k10-foQg,chin-clean50-pn-quartil50,9,118,75,43,11108,33324,0.025,6368,108626351,0.100983913,0.403935651,1.9,32.7,0,0.84,0.541406728,0.684210526,0.4,32.7,25.97422111,5.18E-07,1.573333333,0.436,10,Infinity,Infinity,0.277118644,1,0.277118644,0.436,0
SSDPHD1-k10-foQg,chin-clean50-pn-quartil50,10,118,75,43,11108,33324,0.024,5888,107980007,0.100675093,0.402700373,1.8,32.6,0,0.906666667,0.495869121,0.722222222,0.3,32.6,25.86994874,5.84E-07,1.573333333,0.434666667,10,Infinity,Infinity,0.276271186,1,0.276271186,0.434666667,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSDPHD1-k10-foQg,christensen-clean50-pn-quartil50,1,217,113,104,707,2121,1.282,198002,179424673,0.125447557,0.501790227,1.3,56.8,0,1,0.281004612,1,0.1,56.8,70.97419688,1.78E-16,1.920353982,0.502654867,10,Infinity,Infinity,0.261751152,1,0.261751152,0.502654867,0
SSDPHD1-k10-foQg,christensen-clean50-pn-quartil50,2,217,113,104,707,2121,0.041,6406,125164703,0.124784982,0.499139927,1.2,56.5,0,1,0.279646018,0.916666667,0.2,56.5,70.4076799,1.78E-16,1.920353982,0.5,10,Infinity,Infinity,0.260368664,1,0.260368664,0.5,0
SSDPHD1-k10-foQg,christensen-clean50-pn-quartil50,3,217,113,104,707,2121,0.026,4100,132011827,0.121692964,0.486771858,1.2,55.1,0,0.991150442,0.315050672,1,0.1,55.1,68.08673651,5.20E-15,1.920353982,0.487610619,10,Infinity,Infinity,0.253917051,1,0.253917051,0.487610619,0
SSDPHD1-k10-foQg,christensen-clean50-pn-quartil50,4,217,113,104,707,2121,0.019,3118,124987441,0.118821806,0.475287222,1.3,53.8,0,1,0.333881633,0.923076923,0.2,53.8,66.07075859,1.14E-13,1.920353982,0.476106195,10,Infinity,Infinity,0.247926267,1,0.247926267,0.476106195,0
SSDPHD1-k10-foQg,christensen-clean50-pn-quartil50,5,217,113,104,707,2121,0.017,2435,123979721,0.118821806,0.475287222,1.3,53.8,0,1,0.333881633,0.923076923,0.2,53.8,66.07075859,1.14E-13,1.920353982,0.476106195,10,Infinity,Infinity,0.247926267,1,0.247926267,0.476106195,0
SSDPHD1-k10-foQg,christensen-clean50-pn-quartil50,6,217,113,104,707,2121,0.014,2365,119777719,0.11418378,0.456735119,1.3,51.7,0,1,0.331284983,1,0.1,51.7,62.68359477,2.54E-13,1.920353982,0.457522124,10,Infinity,Infinity,0.238248848,1,0.238248848,0.457522124,0
SSDPHD1-k10-foQg,christensen-clean50-pn-quartil50,7,217,113,104,707,2121,0.014,2164,117705823,0.11418378,0.456735119,1.3,51.7,0,1,0.331284983,1,0.1,51.7,62.68359477,2.54E-13,1.920353982,0.457522124,10,Infinity,Infinity,0.238248848,1,0.238248848,0.457522124,0
SSDPHD1-k10-foQg,christensen-clean50-pn-quartil50,8,217,113,104,707,2121,0.012,1998,112131119,0.113962921,0.455851685,1.3,51.6,0,0.991150442,0.329525966,1,0.1,51.6,62.53962245,3.65E-13,1.920353982,0.456637168,10,Infinity,Infinity,0.237788018,1,0.237788018,0.456637168,0
SSDPHD1-k10-foQg,christensen-clean50-pn-quartil50,9,217,113,104,707,2121,0.012,1851,108626351,0.113962921,0.455851685,1.3,51.6,0,0.991150442,0.329525966,1,0.1,51.6,62.53962245,3.65E-13,1.920353982,0.456637168,10,Infinity,Infinity,0.237788018,1,0.237788018,0.456637168,0
SSDPHD1-k10-foQg,christensen-clean50-pn-quartil50,10,217,113,104,707,2121,0.011,1889,107980007,0.113962921,0.455851685,1.3,51.6,0,0.991150442,0.329525966,1,0.1,51.6,62.53962245,3.65E-13,1.920353982,0.456637168,10,Infinity,Infinity,0.237788018,1,0.237788018,0.456637168,0
,,,,,,,,,,,,,,,,,,,,534.2,,,,,,,,,,,,
SSDPHD1-k10-foQg,ENEM2014-1NOTA-10K,1,10000,2483,7517,114,3705,3774.054,13484768,179424673,0.002976732,0.011906928,4.9,39.6,0,0.062021748,1.875956504,0.326530612,0.8,39.6,120.3777051,0,4.027386226,0.015948449,10,Infinity,Infinity,0.00396,1,0.00396,0.015948449,0
SSDPHD1-k10-foQg,ENEM2014-1NOTA-10K,2,10000,2483,7517,114,3705,3601.348,14689351,125164703,0.002999283,0.011997132,4.8,39.9,0,0.060008055,1.87998389,0.333333333,0.8,39.9,121.2924038,0,4.027386226,0.016069271,10,Infinity,Infinity,0.00399,1,0.00399,0.016069271,0
SSDPHD1-k10-foQg,ENEM2014-1NOTA-10K,3,10000,2483,7517,114,3705,87.352,335076,132011827,0.002342821,0.009371284,4,31.2,0.1,0.065243657,1.869512686,0.375,0.6,28.65,94.27832919,0,4.019641253,0.012552142,10,Infinity,Infinity,0.00313,0.998076923,0.00312,0.012565445,1.33E-05
SSDPHD1-k10-foQg,ENEM2014-1NOTA-10K,4,10000,2483,7517,114,3705,29.907,126074,124987441,0.002112277,0.008449108,3.9,28.1,0,0.045912203,1.908175594,0.358974359,0.5,28.1,85.31889336,0,4.027386226,0.011316955,10,Infinity,Infinity,0.00281,1,0.00281,0.011316955,0
SSDPHD1-k10-foQg,ENEM2014-1NOTA-10K,5,10000,2483,7517,114,3705,6.128,24814,123979721,0.002074692,0.008298768,3.7,27.6,0,0.050342328,1.899315344,0.351351351,0.5,27.6,83.79769474,2.22E-17,4.027386226,0.011115586,10,Infinity,Infinity,0.00276,1,0.00276,0.011115586,0
SSDPHD1-k10-foQg,ENEM2014-1NOTA-10K,6,10000,2483,7517,114,3705,20.481,86750,119777719,0.00210476,0.00841904,3.8,28,0,0.050342328,1.899315344,0.368421053,0.5,28,85.01472684,1.11E-17,4.027386226,0.011276681,10,Infinity,Infinity,0.0028,1,0.0028,0.011276681,0
SSDPHD1-k10-foQg,ENEM2014-1NOTA-10K,7,10000,2483,7517,114,3705,4.097,17745,117705823,0.002074692,0.008298768,3.7,27.6,0,0.050342328,1.899315344,0.351351351,0.5,27.6,83.79769474,2.22E-17,4.027386226,0.011115586,10,Infinity,Infinity,0.00276,1,0.00276,0.011115586,0
SSDPHD1-k10-foQg,ENEM2014-1NOTA-10K,8,10000,2483,7517,114,3705,12.329,58109,112131119,0.001834148,0.007336592,3.8,24.4,0,0.041884817,1.916230366,0.342105263,0.6,24.4,74.0567907,1.55E-15,4.027386226,0.009826822,10,Infinity,Infinity,0.00244,1,0.00244,0.009826822,0
SSDPHD1-k10-foQg,ENEM2014-1NOTA-10K,9,10000,2483,7517,114,3705,10.83,46980,108626351,0.001736427,0.006945708,3.3,23.1,0,0.045912203,1.908175594,0.333333333,0.6,23.1,70.10427062,4.53E-14,4.027386226,0.009303262,10,Infinity,Infinity,0.00231,1,0.00231,0.009303262,0
SSDPHD1-k10-foQg,ENEM2014-1NOTA-10K,10,10000,2483,7517,114,3705,2.648,11813,107980007,0.001736427,0.006945708,3.3,23.1,0,0.045912203,1.908175594,0.333333333,0.6,23.1,70.10427062,4.53E-14,4.027386226,0.009303262,10,Infinity,Infinity,0.00231,1,0.00231,0.009303262,0
,,,,,,,,,,,,,,,,,,,,290.05,,,,,,,,,,,,
SSDPHD1-k10-foQg,evasao,1,118755,18528,100227,177,374,3893.362,515211,179424673,1.15E-04,4.59E-04,3.1,16.7,3,0.007286269,1.985427461,0.806451613,0.3,3.932142857,72.02144274,6.43E-06,5.634890036,8.71E-04,10,Infinity,Infinity,1.66E-04,0.879148184,1.41E-04,9.01E-04,2.99E-05
SSDPHD1-k10-foQg,evasao,2,118755,18528,100227,177,374,3632.662,494197,125164703,3.11E-05,1.24E-04,3.4,4.5,0.7,0.001673143,1.996653713,0.529411765,0.6,2.903333333,20.4313868,4.03E-04,5.989310773,2.36E-04,10,Infinity,Infinity,4.38E-05,0.934444444,3.79E-05,2.43E-04,6.98E-06
SSDPHD1-k10-foQg,evasao,3,118755,18528,100227,177,374,295.848,46511,132011827,3.11E-05,1.24E-04,3.4,4.5,0.7,0.001565199,1.996869603,0.470588235,0.6,2.903333333,20.4313868,4.03E-04,5.989310773,2.36E-04,10,Infinity,Infinity,4.38E-05,0.934444444,3.79E-05,2.43E-04,6.98E-06
SSDPHD1-k10-foQg,evasao,4,118755,18528,100227,177,374,3631.355,573889,124987441,3.83E-05,1.53E-04,5.1,5.5,0.6,0.002104922,1.995790155,0.294117647,0.6,3.75,26.26059164,1.83E-05,6.163326833,2.91E-04,10,Infinity,Infinity,5.14E-05,0.961594203,4.63E-05,2.97E-04,5.99E-06
SSDPHD1-k10-foQg,evasao,5,118755,18528,100227,177,374,96.363,15868,123979721,4.47E-05,1.79E-04,3.6,6.7,2.2,0.002266839,1.995466321,0.388888889,0.6,2.613589744,25.27282882,4.03E-04,5.69834035,3.40E-04,10,Infinity,Infinity,7.49E-05,0.889047619,5.64E-05,3.62E-04,2.20E-05
SSDPHD1-k10-foQg,evasao,6,118755,18528,100227,177,374,282.579,47054,119777719,4.16E-05,1.67E-04,4,6.1,1.3,0.002482729,1.995034542,0.35,0.5,2.991428571,25.89316406,4.02E-04,5.909936705,3.16E-04,10,Infinity,Infinity,6.23E-05,0.922060606,5.14E-05,3.29E-04,1.30E-05
